
Branch,Degree,Score/800,Aptitude,English,Quantitative,Analytical,Domain,Computer Fundamental,Coding,Placement Status
Computer Science And Information Technology,B. Tech.,392,29 %,40 %,20 %,27 %,20 %,07 %,00 %,
Computer Science And Information Technology,B. Tech.,392,29 %,33 %,20 %,33 %,40 %,33 %,00 %,
Mechanical Engineering,B. Tech.,392,29 %,13 %,40 %,33 %,55 %,13 %,00 %,
MCA,MCA,392,29 %,27 %,20 %,40 %,25 %,00 %,00 %,
Electronics and Communications Engineering,B. Tech.,392,29 %,20 %,60 %,07 %,40 %,40 %,00 %,
Electrical Engineering,B. Tech.,392,29 %,33 %,07 %,47 %,45 %,47 %,00 %,
Computer Science Engineering,M. Tech.,392,29 %,33 %,27 %,27 %,30 %,33 %,00 %,
MCA,MCA,392,31 %,33 %,20 %,40 %,20 %,20 %,00 %,
Mechanical Engineering,B. Tech.,392,29 %,40 %,13 %,33 %,35 %,27 %,00 %,
Electronic Instrumentation & Control Engineering,B. Tech.,389,27 %,27 %,20 %,33 %,30 %,20 %,00 %,
Civil Engineering,B. Tech.,389,27 %,27 %,33 %,20 %,40 %,13 %,00 %,
Mechanical Engineering,B. Tech.,389,29 %,33 %,13 %,40 %,30 %,53 %,00 %,
Mechanical Engineering,B. Tech.,389,29 %,20 %,20 %,47 %,20 %,20 %,00 %,
Electrical Engineering,B. Tech.,386,29 %,40 %,33 %,13 %,25 %,27 %,00 %,
Civil Engineering,B. Tech.,386,27 %,20 %,20 %,40 %,10 %,40 %,00 %,
Computer Science And Information Technology,B. Tech.,383,29 %,40 %,13 %,33 %,25 %,33 %,00 %,
Computer Science Engineering,B. Tech.,383,27 %,47 %,07 %,27 %,30 %,47 %,16 %,
Electronics and Communications Engineering,B. Tech.,380,29 %,53 %,13 %,20 %,25 %,47 %,00 %,
Mechanical Engineering,B. Tech.,380,27 %,13 %,33 %,33 %,35 %,13 %,00 %,
Computer Science And Information Technology,B. Tech.,380,27 %,60 %,13 %,07 %,20 %,13 %,00 %,
Mechanical Engineering,B. Tech.,380,27 %,20 %,20 %,40 %,60 %,53 %,00 %,
Electrical Engineering,B. Tech.,380,27 %,33 %,27 %,20 %,25 %,13 %,00 %,
Electronics and Instrumentation Engineering,M. Tech.,377,24 %,27 %,13 %,33 %,20 %,33 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,377,27 %,13 %,40 %,27 %,30 %,33 %,18 %,
Civil Engineering,B. Tech.,377,27 %,33 %,07 %,40 %,10 %,40 %,00 %,
Civil Engineering,B. Tech.,377,27 %,27 %,07 %,47 %,35 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,377,27 %,20 %,13 %,47 %,10 %,13 %,00 %,
Computer Science And Information Technology,B. Tech.,377,24 %,40 %,07 %,27 %,35 %,40 %,00 %,
Mechanical Engineering,B. Tech.,374,24 %,33 %,20 %,20 %,50 %,40 %,00 %,
Mechanical Engineering,M. Tech.,374,27 %,33 %,13 %,33 %,15 %,33 %,00 %,
Computer Science Engineering,M. Tech.,374,24 %,33 %,20 %,20 %,35 %,20 %,00 %,
Computer Science Engineering,B. Tech.,374,24 %,33 %,00 %,40 %,20 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,371,24 %,20 %,33 %,20 %,15 %,13 %,00 %,
Electrical Engineering,M. Tech.,371,24 %,33 %,07 %,33 %,25 %,00 %,00 %,
Computer Science And Information Technology,B. Tech.,365,24 %,20 %,13 %,40 %,15 %,20 %,00 %,
Computer Science And Information Technology,B. Tech.,365,24 %,27 %,20 %,27 %,35 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,365,22 %,20 %,07 %,40 %,40 %,13 %,00 %,
Electrical Engineering,B. Tech.,362,24 %,13 %,27 %,33 %,55 %,20 %,00 %,
Electrical and Electronics Engineering,B. Tech.,362,22 %,33 %,13 %,20 %,15 %,07 %,00 %,
Mechanical Engineering,B. Tech.,353,22 %,20 %,13 %,33 %,25 %,33 %,00 %,
Electrical Engineering,B. Tech.,347,20 %,27 %,00 %,33 %,30 %,20 %,00 %,
Mechanical Engineering,B. Tech.,344,18 %,07 %,40 %,07 %,35 %,13 %,00 %,
Computer Science And Information Technology,B. Tech.,341,18 %,20 %,13 %,20 %,15 %,33 %,00 %,
Computer Science Engineering,B. Tech.,338,20 %,20 %,07 %,33 %,65 %,60 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,338,18 %,13 %,13 %,27 %,35 %,20 %,00 %,
Electrical and Electronics Engineering,B. Tech.,332,16 %,13 %,13 %,20 %,40 %,47 %,00 %,
Mechanical Engineering,B. Tech.,332,18 %,07 %,07 %,40 %,30 %,20 %,00 %,
MCA,MCA,332,20 %,07 %,13 %,40 %,20 %,53 %,00 %,
Civil Engineering,B. Tech.,332,18 %,40 %,07 %,07 %,30 %,07 %,00 %,
Civil Engineering,B. Tech.,317,18 %,13 %,07 %,33 %,25 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,569,60 %,73 %,47 %,60 %,35 %,40 %,60 %,Placed
Computer Science Engineering,B. Tech.,566,64 %,67 %,53 %,73 %,45 %,53 %,20 %,
Electronics and Communications Engineering,B. Tech.,560,60 %,80 %,33 %,67 %,25 %,40 %,20 %,
Computer Science Engineering,B. Tech.,554,60 %,53 %,60 %,67 %,35 %,27 %,96 %,
Information Technology,B. Tech.,554,71 %,67 %,60 %,87 %,50 %,40 %,00 %,
Computer Science Engineering,B. Tech.,551,62 %,80 %,33 %,73 %,50 %,40 %,20 %,
Information Technology,B. Tech.,539,58 %,67 %,47 %,60 %,40 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,524,60 %,67 %,73 %,40 %,45 %,33 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,524,58 %,73 %,40 %,60 %,25 %,27 %,00 %,
Electrical Engineering,B. Tech.,521,56 %,40 %,60 %,67 %,45 %,20 %,20 %,
Information Technology,B. Tech.,518,53 %,67 %,33 %,60 %,25 %,53 %,20 %,
Electronics and Communications Engineering,B. Tech.,518,53 %,60 %,40 %,60 %,30 %,47 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,518,60 %,67 %,53 %,60 %,35 %,20 %,00 %,
Computer Science Engineering,B. Tech.,518,53 %,60 %,20 %,80 %,55 %,47 %,00 %,
Electrical Engineering,B. Tech.,515,58 %,53 %,73 %,47 %,35 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,515,56 %,47 %,60 %,60 %,40 %,53 %,00 %,
Electronics and Communications Engineering,B. Tech.,515,56 %,80 %,40 %,47 %,35 %,53 %,00 %,
Computer Science Engineering,B. Tech.,515,56 %,67 %,47 %,53 %,60 %,53 %,00 %,
Electronics and Communications Engineering,B. Tech.,515,56 %,60 %,47 %,60 %,30 %,27 %,00 %,
Computer Science Engineering,B. Tech.,512,53 %,40 %,60 %,60 %,30 %,40 %,00 %,
Electrical Engineering,B. Tech.,509,53 %,60 %,53 %,47 %,20 %,60 %,00 %,
Computer Science Engineering,B. Tech.,506,53 %,60 %,33 %,67 %,30 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,506,51 %,80 %,27 %,47 %,30 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,506,49 %,60 %,47 %,40 %,45 %,20 %,00 %,
Computer Science Engineering,B. Tech.,506,53 %,73 %,53 %,33 %,45 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,503,51 %,40 %,53 %,60 %,55 %,33 %,00 %,
Information Technology,B. Tech.,503,47 %,67 %,40 %,33 %,45 %,47 %,20 %,
Electronics and Communications Engineering,B. Tech.,503,49 %,40 %,40 %,67 %,45 %,53 %,00 %,
Electronics and Communications Engineering,B. Tech.,503,51 %,73 %,33 %,47 %,30 %,40 %,00 %,
Information Technology,B. Tech.,500,51 %,60 %,40 %,53 %,40 %,20 %,00 %,
Computer Science Engineering,B. Tech.,500,47 %,53 %,33 %,53 %,45 %,60 %,00 %,
Computer Science Engineering,B. Tech.,500,51 %,40 %,40 %,73 %,40 %,33 %,00 %,
Electrical Engineering,B. Tech.,500,49 %,53 %,47 %,47 %,35 %,53 %,00 %,
Information Technology,B. Tech.,500,58 %,33 %,67 %,73 %,20 %,20 %,20 %,
Electronics and Communications Engineering,B. Tech.,500,56 %,53 %,60 %,53 %,30 %,20 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,497,49 %,53 %,33 %,60 %,45 %,33 %,00 %,
Electrical Engineering,B. Tech.,497,56 %,53 %,47 %,67 %,25 %,33 %,00 %,
Information Technology,B. Tech.,497,56 %,53 %,53 %,60 %,35 %,33 %,00 %,
Computer Science Engineering,B. Tech.,497,51 %,53 %,47 %,53 %,40 %,40 %,00 %,
Electrical Engineering,B. Tech.,497,51 %,47 %,27 %,80 %,35 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,494,51 %,60 %,47 %,47 %,35 %,20 %,00 %,
Electrical Engineering,B. Tech.,494,49 %,47 %,27 %,73 %,40 %,33 %,00 %,
Electrical Engineering,B. Tech.,494,49 %,33 %,40 %,73 %,30 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,494,51 %,60 %,33 %,60 %,40 %,33 %,00 %,
Computer Science Engineering,B. Tech.,491,47 %,40 %,67 %,33 %,45 %,53 %,20 %,
Electronics and Communications Engineering,B. Tech.,491,56 %,67 %,53 %,47 %,40 %,33 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,488,49 %,60 %,27 %,60 %,50 %,40 %,00 %,
Electrical Engineering,B. Tech.,488,51 %,53 %,47 %,53 %,25 %,27 %,00 %,
Electrical Engineering,B. Tech.,488,44 %,40 %,47 %,47 %,35 %,27 %,00 %,
Information Technology,B. Tech.,485,44 %,27 %,40 %,67 %,50 %,53 %,52 %,
Electrical Engineering,B. Tech.,485,47 %,33 %,53 %,53 %,25 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,482,47 %,47 %,40 %,53 %,45 %,40 %,00 %,
Electrical Engineering,B. Tech.,482,47 %,60 %,20 %,60 %,40 %,33 %,00 %,
Computer Science Engineering,B. Tech.,482,49 %,40 %,33 %,73 %,10 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,482,51 %,73 %,20 %,60 %,10 %,40 %,00 %,
Computer Science Engineering,B. Tech.,482,47 %,47 %,33 %,60 %,20 %,20 %,20 %,
Computer Science Engineering,B. Tech.,482,49 %,33 %,53 %,60 %,45 %,07 %,00 %,
Computer Science Engineering,B. Tech.,482,44 %,67 %,13 %,53 %,25 %,40 %,20 %,
Electrical Engineering,B. Tech.,479,47 %,53 %,33 %,53 %,30 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,479,44 %,73 %,13 %,47 %,20 %,40 %,00 %,
Information Technology,B. Tech.,479,47 %,47 %,40 %,53 %,25 %,33 %,00 %,
Electrical Engineering,B. Tech.,479,44 %,60 %,20 %,53 %,25 %,60 %,00 %,
Electronics and Communications Engineering,B. Tech.,479,47 %,73 %,20 %,47 %,25 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,476,42 %,33 %,40 %,53 %,40 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,476,47 %,47 %,33 %,60 %,25 %,53 %,00 %,
Computer Science Engineering,B. Tech.,476,44 %,47 %,27 %,60 %,20 %,53 %,00 %,
Electronics and Communications Engineering,B. Tech.,476,44 %,67 %,33 %,33 %,30 %,33 %,00 %,
Electrical Engineering,B. Tech.,473,44 %,40 %,20 %,73 %,35 %,20 %,00 %,
Computer Science Engineering,B. Tech.,473,44 %,40 %,47 %,47 %,15 %,53 %,00 %,
Computer Science Engineering,B. Tech.,473,47 %,60 %,40 %,40 %,25 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,473,42 %,47 %,47 %,33 %,80 %,53 %,00 %,
Information Technology,B. Tech.,473,44 %,40 %,47 %,47 %,20 %,53 %,00 %,
Electrical Engineering,B. Tech.,473,44 %,53 %,33 %,47 %,35 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,473,44 %,47 %,33 %,53 %,35 %,47 %,00 %,
Information Technology,B. Tech.,470,44 %,47 %,27 %,60 %,30 %,20 %,00 %,
Electrical Engineering,B. Tech.,470,42 %,47 %,20 %,60 %,30 %,27 %,00 %,
Electrical Engineering,B. Tech.,470,44 %,40 %,33 %,60 %,25 %,33 %,00 %,
Computer Science Engineering,B. Tech.,470,42 %,47 %,33 %,47 %,35 %,47 %,00 %,
Electrical Engineering,B. Tech.,467,42 %,53 %,47 %,27 %,35 %,53 %,00 %,
Electrical Engineering,B. Tech.,467,44 %,47 %,27 %,60 %,15 %,33 %,00 %,
Electrical Engineering,B. Tech.,467,47 %,40 %,53 %,47 %,40 %,33 %,00 %,
Electrical Engineering,B. Tech.,467,42 %,47 %,27 %,53 %,40 %,27 %,00 %,
Information Technology,B. Tech.,467,42 %,60 %,20 %,47 %,50 %,47 %,00 %,
Computer Science Engineering,B. Tech.,467,42 %,27 %,27 %,73 %,30 %,27 %,00 %,
Computer Science Engineering,B. Tech.,464,42 %,40 %,27 %,60 %,30 %,40 %,00 %,
Computer Science Engineering,B. Tech.,464,42 %,47 %,33 %,47 %,25 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,464,42 %,60 %,00 %,67 %,30 %,13 %,00 %,
Electrical Engineering,B. Tech.,464,40 %,47 %,07 %,67 %,30 %,60 %,00 %,
Computer Science Engineering,B. Tech.,464,42 %,53 %,20 %,53 %,20 %,33 %,00 %,
Electrical Engineering,B. Tech.,464,40 %,33 %,27 %,60 %,35 %,27 %,00 %,
Electrical Engineering,B. Tech.,461,42 %,40 %,40 %,47 %,25 %,13 %,00 %,
Computer Science Engineering,B. Tech.,461,40 %,40 %,33 %,47 %,35 %,60 %,20 %,
Computer Science Engineering,B. Tech.,461,40 %,33 %,33 %,53 %,55 %,33 %,00 %,
Electrical Engineering,B. Tech.,461,44 %,60 %,20 %,53 %,35 %,53 %,00 %,
Electronics and Communications Engineering,B. Tech.,461,40 %,53 %,13 %,53 %,35 %,53 %,00 %,
Electronics and Communications Engineering,B. Tech.,461,42 %,53 %,20 %,53 %,40 %,40 %,00 %,
Computer Science Engineering,B. Tech.,458,38 %,40 %,33 %,40 %,40 %,33 %,20 %,
Electronics and Communications Engineering,B. Tech.,458,40 %,33 %,27 %,60 %,35 %,40 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,458,40 %,20 %,47 %,53 %,45 %,33 %,00 %,
Information Technology,B. Tech.,455,40 %,40 %,40 %,40 %,50 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,455,40 %,33 %,40 %,47 %,35 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,455,40 %,33 %,40 %,47 %,15 %,33 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,452,40 %,47 %,40 %,33 %,35 %,27 %,00 %,
Computer Science Engineering,B. Tech.,452,40 %,27 %,33 %,60 %,40 %,60 %,00 %,
Electronics and Communications Engineering,B. Tech.,452,38 %,40 %,27 %,47 %,35 %,20 %,00 %,
Electrical Engineering,B. Tech.,449,40 %,33 %,20 %,67 %,20 %,33 %,00 %,
Electrical Engineering,B. Tech.,449,36 %,33 %,40 %,33 %,40 %,33 %,00 %,
Computer Science Engineering,B. Tech.,449,40 %,60 %,13 %,47 %,20 %,40 %,00 %,
Computer Science Engineering,B. Tech.,449,42 %,40 %,53 %,33 %,30 %,33 %,00 %,
Computer Science Engineering,B. Tech.,449,40 %,47 %,47 %,27 %,30 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,446,40 %,40 %,53 %,27 %,40 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,446,40 %,47 %,40 %,33 %,25 %,33 %,00 %,
Computer Science Engineering,B. Tech.,446,38 %,40 %,27 %,47 %,40 %,27 %,00 %,
Electrical Engineering,B. Tech.,446,38 %,40 %,47 %,27 %,30 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,443,40 %,07 %,60 %,53 %,40 %,13 %,00 %,
Computer Science Engineering,B. Tech.,440,38 %,40 %,33 %,40 %,30 %,40 %,00 %,
Electrical Engineering,B. Tech.,440,38 %,33 %,47 %,33 %,40 %,27 %,00 %,
Computer Science Engineering,B. Tech.,440,38 %,47 %,27 %,40 %,20 %,07 %,00 %,
Electrical Engineering,B. Tech.,440,40 %,53 %,27 %,40 %,35 %,33 %,00 %,
Electrical Engineering,B. Tech.,437,38 %,53 %,20 %,40 %,45 %,40 %,00 %,
Computer Science Engineering,B. Tech.,437,38 %,20 %,73 %,20 %,40 %,33 %,00 %,
Electrical Engineering,B. Tech.,437,38 %,20 %,53 %,40 %,30 %,20 %,00 %,
Computer Science Engineering,B. Tech.,437,38 %,47 %,40 %,27 %,25 %,27 %,00 %,
Computer Science Engineering,B. Tech.,437,38 %,53 %,00 %,60 %,25 %,40 %,00 %,
Electrical Engineering,B. Tech.,437,36 %,20 %,27 %,60 %,10 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,437,36 %,40 %,20 %,47 %,55 %,27 %,00 %,
Electrical Engineering,B. Tech.,437,38 %,40 %,13 %,60 %,30 %,40 %,00 %,
Electrical Engineering,B. Tech.,437,38 %,20 %,47 %,47 %,30 %,13 %,00 %,
Electrical Engineering,B. Tech.,434,40 %,60 %,20 %,40 %,15 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,434,36 %,40 %,20 %,47 %,15 %,27 %,00 %,
Electrical Engineering,B. Tech.,434,36 %,53 %,27 %,27 %,45 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,431,38 %,33 %,20 %,60 %,40 %,27 %,00 %,
Computer Science Engineering,B. Tech.,431,36 %,33 %,33 %,40 %,20 %,27 %,00 %,
Computer Science Engineering,B. Tech.,431,36 %,47 %,27 %,33 %,20 %,33 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,431,33 %,40 %,33 %,27 %,45 %,60 %,00 %,
Electrical Engineering,B. Tech.,428,36 %,40 %,13 %,53 %,30 %,13 %,00 %,
Electrical Engineering,B. Tech.,428,36 %,33 %,33 %,40 %,35 %,33 %,00 %,
Electrical Engineering,B. Tech.,428,36 %,40 %,33 %,33 %,50 %,27 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,428,38 %,33 %,40 %,40 %,25 %,47 %,00 %,
Electrical Engineering,B. Tech.,428,36 %,40 %,47 %,20 %,20 %,20 %,00 %,
Computer Science Engineering,B. Tech.,428,33 %,47 %,33 %,20 %,20 %,33 %,20 %,
Electrical Engineering,B. Tech.,428,33 %,40 %,27 %,33 %,50 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,428,33 %,53 %,20 %,27 %,45 %,33 %,00 %,
Computer Science Engineering,B. Tech.,425,31 %,27 %,27 %,40 %,35 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,425,36 %,53 %,33 %,20 %,25 %,20 %,00 %,
Electrical Engineering,B. Tech.,425,33 %,53 %,13 %,33 %,55 %,33 %,00 %,
Electrical Engineering,B. Tech.,425,36 %,33 %,47 %,27 %,65 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,422,36 %,33 %,20 %,53 %,40 %,40 %,00 %,
Information Technology,B. Tech.,419,33 %,47 %,27 %,27 %,20 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,419,33 %,53 %,20 %,27 %,30 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,416,33 %,40 %,20 %,40 %,35 %,47 %,00 %,
Computer Science Engineering,B. Tech.,416,33 %,53 %,20 %,27 %,25 %,20 %,00 %,
Electrical Engineering,B. Tech.,416,36 %,20 %,53 %,33 %,20 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,416,31 %,67 %,00 %,27 %,35 %,53 %,00 %,
Electronics and Communications Engineering,B. Tech.,416,33 %,33 %,33 %,33 %,30 %,40 %,00 %,
Electrical Engineering,B. Tech.,416,33 %,27 %,27 %,47 %,25 %,40 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,413,33 %,33 %,33 %,33 %,40 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,410,31 %,40 %,13 %,40 %,55 %,40 %,20 %,
Electronics and Communications Engineering,B. Tech.,407,31 %,33 %,33 %,27 %,30 %,33 %,00 %,
Computer Science Engineering,B. Tech.,407,33 %,33 %,40 %,27 %,50 %,20 %,00 %,
Computer Science Engineering,B. Tech.,407,31 %,20 %,33 %,40 %,35 %,33 %,00 %,
Electrical Engineering,B. Tech.,407,31 %,40 %,20 %,33 %,45 %,13 %,00 %,
Electrical Engineering,B. Tech.,404,29 %,33 %,13 %,40 %,35 %,33 %,00 %,
Electrical Engineering,B. Tech.,404,31 %,53 %,20 %,20 %,25 %,20 %,00 %,
Computer Science Engineering,B. Tech.,404,31 %,40 %,27 %,27 %,25 %,20 %,00 %,
Computer Science Engineering,B. Tech.,401,31 %,27 %,40 %,27 %,20 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,401,31 %,53 %,07 %,33 %,20 %,40 %,00 %,
Electrical Engineering,B. Tech.,395,29 %,27 %,20 %,40 %,25 %,33 %,00 %,
Computer Science Engineering,B. Tech.,395,27 %,53 %,07 %,20 %,50 %,33 %,00 %,
Electrical Engineering,B. Tech.,395,29 %,27 %,27 %,33 %,50 %,27 %,00 %,
Electrical Engineering,B. Tech.,395,31 %,40 %,20 %,33 %,20 %,20 %,00 %,
Computer Science Engineering,B. Tech.,392,29 %,33 %,13 %,40 %,30 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,392,29 %,40 %,07 %,40 %,25 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,389,29 %,53 %,00 %,33 %,10 %,40 %,00 %,
Computer Science Engineering,B. Tech.,386,29 %,73 %,00 %,13 %,10 %,20 %,00 %,
Information Technology,B. Tech.,383,27 %,40 %,13 %,27 %,35 %,27 %,00 %,
Computer Science Engineering,B. Tech.,383,27 %,40 %,07 %,33 %,20 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,377,24 %,27 %,20 %,27 %,60 %,20 %,00 %,
Computer Science Engineering,B. Tech.,377,27 %,13 %,20 %,47 %,35 %,40 %,00 %,
Computer Science Engineering,B. Tech.,374,27 %,13 %,47 %,20 %,40 %,13 %,00 %,
Electrical Engineering,B. Tech.,374,24 %,33 %,20 %,20 %,20 %,33 %,00 %,
Computer Science Engineering,B. Tech.,359,22 %,33 %,07 %,27 %,30 %,27 %,00 %,
Electrical Engineering,B. Tech.,311,16 %,20 %,00 %,27 %,25 %,13 %,00 %,
Computer Science Engineering,B. Tech.,293,11 %,20 %,00 %,13 %,20 %,27 %,00 %,
Electrical Engineering,B. Tech.,530,60 %,67 %,40 %,73 %,20 %,27 %,00 %,
Mechanical Engineering,B. Tech.,521,53 %,53 %,53 %,53 %,60 %,47 %,00 %,
Computer Science Engineering,B. Tech.,509,51 %,67 %,40 %,47 %,65 %,40 %,00 %,
Computer Science Engineering,B. Tech.,500,47 %,60 %,13 %,67 %,50 %,47 %,20 %,
Mechanical Engineering,B. Tech.,497,53 %,80 %,60 %,20 %,55 %,27 %,00 %,
Computer Science Engineering,B. Tech.,485,49 %,40 %,53 %,53 %,35 %,33 %,00 %,
Electrical Engineering,B. Tech.,482,49 %,40 %,53 %,53 %,35 %,53 %,00 %,
Electronics and Communications Engineering,B. Tech.,482,44 %,33 %,60 %,40 %,50 %,47 %,00 %,
Mechanical Engineering,B. Tech.,479,44 %,27 %,27 %,80 %,50 %,20 %,00 %,
Electrical Engineering,B. Tech.,479,49 %,13 %,67 %,67 %,35 %,40 %,00 %,
Mechanical Engineering,B. Tech.,470,44 %,47 %,13 %,73 %,45 %,40 %,00 %,
Mechanical Engineering,B. Tech.,467,47 %,53 %,40 %,47 %,20 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,467,47 %,33 %,33 %,73 %,25 %,20 %,00 %,
Electrical Engineering,B. Tech.,467,44 %,53 %,40 %,40 %,30 %,20 %,00 %,
Civil Engineering,B. Tech.,467,44 %,53 %,27 %,53 %,25 %,27 %,00 %,
Electrical Engineering,B. Tech.,461,40 %,27 %,27 %,67 %,20 %,33 %,00 %,
Mechanical Engineering,B. Tech.,455,38 %,27 %,53 %,33 %,55 %,27 %,00 %,
Mechanical Engineering,B. Tech.,455,40 %,47 %,27 %,47 %,30 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,449,40 %,07 %,73 %,40 %,50 %,47 %,20 %,
Electrical Engineering,B. Tech.,449,38 %,60 %,07 %,47 %,20 %,40 %,00 %,
Computer Science Engineering,B. Tech.,449,36 %,27 %,33 %,47 %,30 %,20 %,20 %,
Civil Engineering,B. Tech.,449,38 %,60 %,13 %,40 %,50 %,33 %,00 %,
Civil Engineering,B. Tech.,449,38 %,47 %,13 %,53 %,55 %,27 %,00 %,
Computer Science Engineering,B. Tech.,446,38 %,73 %,13 %,27 %,40 %,20 %,00 %,
Mechanical Engineering,B. Tech.,443,38 %,40 %,20 %,53 %,45 %,20 %,00 %,
Mechanical Engineering,B. Tech.,443,38 %,07 %,47 %,60 %,25 %,40 %,00 %,
Electrical Engineering,B. Tech.,440,40 %,33 %,47 %,40 %,20 %,27 %,00 %,
Mechanical Engineering,B. Tech.,440,38 %,53 %,27 %,33 %,05 %,60 %,00 %,
Electrical Engineering,B. Tech.,440,40 %,40 %,13 %,67 %,20 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,440,36 %,67 %,13 %,27 %,30 %,40 %,00 %,
Civil Engineering,B. Tech.,440,38 %,73 %,27 %,13 %,30 %,13 %,00 %,
Mechanical Engineering,B. Tech.,440,38 %,40 %,27 %,47 %,30 %,20 %,00 %,
Computer Science Engineering,B. Tech.,437,38 %,33 %,27 %,53 %,25 %,27 %,00 %,
Electrical Engineering,B. Tech.,434,38 %,33 %,20 %,60 %,20 %,33 %,00 %,
Mechanical Engineering,B. Tech.,431,36 %,27 %,20 %,60 %,20 %,33 %,00 %,
Mechanical Engineering,B. Tech.,431,36 %,40 %,13 %,53 %,40 %,20 %,00 %,
Mechanical Engineering,B. Tech.,431,36 %,47 %,33 %,27 %,35 %,33 %,00 %,
Electrical Engineering,B. Tech.,428,36 %,27 %,33 %,47 %,40 %,33 %,00 %,
Computer Science Engineering,B. Tech.,425,36 %,60 %,20 %,27 %,25 %,27 %,00 %,
Computer Science Engineering,B. Tech.,422,36 %,40 %,47 %,20 %,20 %,40 %,00 %,
Electrical Engineering,B. Tech.,422,36 %,53 %,13 %,40 %,30 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,422,31 %,47 %,07 %,40 %,50 %,20 %,15 %,
Computer Science Engineering,B. Tech.,419,36 %,27 %,47 %,33 %,35 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,416,31 %,33 %,20 %,40 %,55 %,13 %,00 %,
Mechanical Engineering,B. Tech.,416,31 %,47 %,00 %,47 %,30 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,413,33 %,47 %,20 %,33 %,35 %,13 %,00 %,
Electrical Engineering,B. Tech.,410,33 %,40 %,07 %,53 %,30 %,33 %,00 %,
Civil Engineering,B. Tech.,407,31 %,33 %,27 %,33 %,30 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,407,31 %,20 %,40 %,33 %,15 %,20 %,00 %,
Civil Engineering,B. Tech.,407,29 %,27 %,27 %,33 %,65 %,00 %,00 %,
Computer Science Engineering,B. Tech.,404,29 %,47 %,13 %,27 %,35 %,40 %,00 %,
Civil Engineering,B. Tech.,404,31 %,40 %,27 %,27 %,35 %,27 %,00 %,
Electrical Engineering,B. Tech.,404,31 %,27 %,33 %,33 %,30 %,47 %,00 %,
Mechanical Engineering,B. Tech.,404,31 %,53 %,13 %,27 %,40 %,27 %,00 %,
