
Branch,Degree,Score/800,Aptitude,English,Quantitative,Analytical,Domain,Computer Fundamental,Coding,Placement Status
Electronics and Communications Engineering,B. Tech.,518,56 %,60 %,33 %,73 %,25 %,33 %,20 %,Placed
Electrical Engineering,B. Tech.,518,58 %,67 %,33 %,73 %,30 %,33 %,00 %,Placed
Electronics and Communications Engineering,B. Tech.,518,53 %,67 %,40 %,53 %,50 %,33 %,00 %,Placed
Electronics and Communications Engineering,B. Tech.,518,56 %,53 %,47 %,67 %,50 %,33 %,00 %,
Computer Science Engineering,B. Tech.,518,56 %,53 %,60 %,53 %,35 %,53 %,20 %,
Electrical Engineering,B. Tech.,518,60 %,73 %,40 %,67 %,40 %,33 %,00 %,
Mechanical Engineering,B. Tech.,518,58 %,73 %,40 %,60 %,45 %,33 %,00 %,Placed
Electrical Engineering,B. Tech.,518,53 %,60 %,60 %,40 %,40 %,53 %,00 %,
Mechanical Engineering,B. Tech.,518,62 %,53 %,73 %,60 %,45 %,27 %,00 %,
Electrical Engineering,B. Tech.,518,51 %,67 %,40 %,47 %,50 %,53 %,00 %,Placed
Computer Science Engineering,M. Tech.,515,47 %,60 %,27 %,53 %,50 %,33 %,72 %,Placed
Electronics and Communications Engineering,B. Tech.,515,58 %,60 %,53 %,60 %,50 %,20 %,20 %,
Electrical Engineering,B. Tech.,515,51 %,60 %,33 %,60 %,50 %,53 %,00 %,Placed
Electronics and Communications Engineering,B. Tech.,512,51 %,67 %,27 %,60 %,30 %,53 %,00 %,Placed
Electronics and Communications Engineering,B. Tech.,512,53 %,73 %,33 %,53 %,30 %,53 %,00 %,Placed
Mechanical Engineering,B. Tech.,512,53 %,73 %,47 %,40 %,35 %,20 %,00 %,
Mechanical Engineering,B. Tech.,512,51 %,60 %,27 %,67 %,25 %,33 %,00 %,Placed
Computer Science Engineering,B. Tech.,512,51 %,67 %,60 %,27 %,35 %,47 %,20 %,
Electrical Engineering,B. Tech.,512,60 %,53 %,73 %,53 %,40 %,20 %,00 %,
Computer Science Engineering,B. Tech.,509,47 %,33 %,40 %,67 %,65 %,27 %,60 %,
Computer Science Engineering,B. Tech.,509,51 %,53 %,27 %,73 %,30 %,33 %,20 %,
Electrical Engineering,B. Tech.,509,53 %,47 %,53 %,60 %,40 %,33 %,00 %,
Electrical Engineering,B. Tech.,506,47 %,40 %,53 %,47 %,50 %,40 %,60 %,
Information Technology,B. Tech.,506,49 %,47 %,27 %,73 %,50 %,53 %,20 %,
Electrical Engineering,B. Tech.,506,58 %,60 %,53 %,60 %,25 %,07 %,00 %,
Electronics and Communications Engineering,B. Tech.,506,49 %,47 %,53 %,47 %,30 %,40 %,20 %,
Electronics and Communications Engineering,B. Tech.,506,51 %,47 %,47 %,60 %,50 %,40 %,00 %,
Mechanical Engineering,B. Tech.,506,53 %,53 %,60 %,47 %,45 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,503,51 %,67 %,33 %,53 %,25 %,53 %,00 %,Placed
Electrical Engineering,B. Tech.,503,49 %,47 %,60 %,40 %,50 %,13 %,20 %,
Information Technology,B. Tech.,503,51 %,67 %,20 %,67 %,40 %,67 %,20 %,
Electronics and Communications Engineering,B. Tech.,503,51 %,53 %,33 %,67 %,25 %,13 %,20 %,
Information Technology,B. Tech.,503,49 %,60 %,20 %,67 %,45 %,40 %,20 %,Placed
Electronics and Communications Engineering,B. Tech.,503,51 %,67 %,40 %,47 %,55 %,33 %,20 %,
Applied Electronics and Instrumentation,B. Tech.,503,58 %,47 %,67 %,60 %,30 %,20 %,00 %,
Mechanical Engineering,B. Tech.,503,53 %,47 %,53 %,60 %,55 %,27 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,503,56 %,47 %,60 %,60 %,65 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,500,51 %,60 %,27 %,67 %,40 %,20 %,20 %,
Electronics and Communications Engineering,B. Tech.,500,49 %,47 %,33 %,67 %,35 %,27 %,00 %,
Mechanical Engineering,B. Tech.,500,56 %,53 %,80 %,33 %,55 %,60 %,00 %,
Electrical Engineering,B. Tech.,500,47 %,53 %,47 %,40 %,30 %,47 %,20 %,
Electrical Engineering,B. Tech.,500,49 %,47 %,47 %,53 %,55 %,47 %,20 %,
Computer Science Engineering,B. Tech.,500,49 %,33 %,40 %,73 %,45 %,47 %,00 %,
Electrical Engineering,B. Tech.,500,51 %,47 %,47 %,60 %,30 %,47 %,00 %,
Electrical Engineering,B. Tech.,500,51 %,40 %,47 %,67 %,40 %,27 %,00 %,
